Spieltag;Datum;Heim;Gast;Ergebnis;Toto;1;0;2
2;8/26/17;Eintracht Frankfurt;VfL Wolfsburg;0:1;2;2,24;3,45;3,7
2;8/26/17;Bayer Leverkusen;TSG Hoffenheim;2:2;0;2,04;3,95;3,8
2;8/26/17;FC Augsburg;Mönchengladbach;2:2;0;3,45;3,5;2,32
2;8/26/17;VfB Stuttgart;1.FSV Mainz 05;1:0;1;2,48;3,5;3,15
2;8/26/17;BVB 09 Dortmund;Hertha BSC Berlin;2:0;1;1,39;5,1;11
2;8/25/17;1.FC Köln;Hamburger SV;1:3;2;2,06;3,5;4,2
1;8/20/17;SC Freiburg;Eintracht Frankfurt;0:0;0;2,88;3,25;2,86
1;8/20/17;Mönchengladbach;1.FC Köln;1:0;1;1,83;3,8;5,1
1;8/19/17;TSG Hoffenheim;SV Werder Bremen;1:0;1;1,83;4,1;4,6
1;8/19/17;Hertha BSC Berlin;VfB Stuttgart;2:0;1;2,04;3,65;4,1
1;8/19/17;Hamburger SV;FC Augsburg;1:0;1;2,3;3,4;3,6
1;8/19/17;1.FSV Mainz 05;Hannover 96;0:1;2;1,92;3,7;4,6
1;8/19/17;VfL Wolfsburg;BVB 09 Dortmund;0:3;2;4,1;3,95;1,95
1;8/19/17;FC Schalke 04;RB Leipzig;2:0;1;2,94;3,5;2,64
1;8/18/17;Bayern München;Bayer Leverkusen;3:1;1;1,26;6,4;18
