"","ar_sc","ar_xG","ar_extxG","ar_emp"
"546",-20.93,-16.91,-21.62,-25.99
"547",6.57,-29.98,-0.640000000000002,27.51
"548",0.669999999999997,20,9.22,8.61
"549",3.40000000000001,-6.63999999999999,-5.37,2.27999999999998
"550",-0.800000000000002,-6.38000000000001,-31.78,13.31
"551",1.56,1.32999999999999,-16.58,-15.12
"552",-4.92,12.14,20.76,-30.38
"553",-8.8,24.22,-18.78,88.88
"554",-41.41,-15.27,-11.46,16.53
"555",23.83,36.18,-15.61,24.56
"556",-18.57,16.94,21.95,-5.66
"557",5.72000000000001,-17.62,68.87,8.06
"558",-5.27,-28.93,14.26,40.27
"559",24.61,-26.49,50.87,52.74
"560",-21.27,-37.11,-26.55,48.05
"561",-39.52,-4.83,-40.93,34.03
"562",7.91,5.78999999999999,-12.34,-10.22
"563",-19.74,26.27,-0.470000000000002,21.22
"564",-28.49,20.9,11.3,-39.58
"565",2.47,33.88,8.98,15.51
"566",-14.17,-0.589999999999998,-1.25,-6.22
"567",48.45,5.62,6.21,75.23
"568",-38.66,-5.36999999999999,-1.54,29.03
"569",2.01000000000001,-15.7,-13.55,18.18
"570",-12.47,24.59,37.5,43.53
"571",21.97,-17.29,5.22,-29.35
"572",4.44,15.81,-19.97,54.01
"573",-29.93,-8.4,-8.46,32.77
"574",32.67,-29.28,0.310000000000006,29.56
"575",7.73,44.67,23.02,18.37
"576",-11.31,-11.3,23.03,-11.67
"577",-26,-43.72,27.8,5.29
"578",-57.32,10.9,21.51,-29.47
"579",1.85000000000002,8.13000000000001,24.25,-34.71
"580",3.46000000000001,50.15,14.69,26.18
"581",-12.35,39.02,9.53,-3.75
"582",22.34,-0.119999999999993,1.6,-10.8
"583",-38.75,11.77,-36.76,30.02
"584",3.8,17.37,4.72,56.08
"585",13.92,4.9,11.82,2.1
"586",-31,26.96,21.35,16.05
"587",-20.56,-24.81,-2.96,4.32
"588",-23.3,29.01,-31.13,40.35
"589",-6.97,-1.82,34.93,-12.67
"590",6.58,-2.84,-29.2,41.8
"591",32.79,-27.96,2.37,3.77000000000001
"592",-9.44000000000001,-1.63,-4.29,81.68
"593",-22.03,-4.31,-37.19,38.15
"594",-18.96,10.12,-32.67,2.01
"595",5.06,25.79,-10.75,10.88
"596",7.80000000000001,1.41,-4.14,-10.49
"597",30.34,-15.5,-12.68,50.26
"598",-26.98,-0.759999999999998,29.22,-13.18
"599",18.26,15,19.31,-4.25000000000001
"600",-3.44,-3.07,-0.120000000000006,21.68
"601",6.44,48.04,9.27999999999999,9.89
"602",-17.51,33.6,-15.08,-11.48
"603",-2.24,7.26,13.23,9.3
"604",-11.64,-21.07,-4.07,21.3
"605",-9.22,-13.03,-26.94,12.87
"606",-30.39,5.61,51.45,38.3
"607",-19.51,21.03,18.29,-22.71
"608",-23.48,18.57,-3.9,-36.53
"609",28.59,29.72,-16.01,22.06
"610",11.9,-12.45,9.85,69.33
"611",14.34,34.62,12.17,-13.83
"612",-10.73,-11.5,-13.48,59.26
"613",-7.47,22.55,8.26999999999999,14.93
"614",9.09999999999999,10.21,4.92,-1.74999999999999
"615",23.91,41.3,-2.59999999999999,-43.9
"616",-23.54,39.15,4.54,1.26
